dataset_name,xyz_lr_c,xyz_lr_final_c,radius_lr_c,radius_lr_final_c,weights_lr_c,weights_lr_final_c,mean_training_loss,mean_density_field_loss
starling,0.01,0.7,0.2,0.9,0.2,0.8,116397.65625,0.8372277548745093
starling,0.01,0.7,0.2,0.9,0.2,0.9,117613.880859375,0.8318090532842816
starling,0.01,0.8,0.05,0.7,0.1,0.7,95817.462890625,0.8044992335966981
starling,0.01,0.8,0.05,0.7,0.1,0.8,96246.94921875,0.8079012440505997
starling,0.01,0.8,0.05,0.7,0.1,0.9,96629.478515625,0.8111317097254631
starling,0.01,0.8,0.05,0.7,0.14,0.7,102053.89453125,0.8178883605343885
starling,0.01,0.8,0.05,0.7,0.14,0.8,102396.294921875,0.8190394326495842
starling,0.01,0.8,0.05,0.7,0.14,0.9,102491.05859375,0.8208725571793374
starling,0.01,0.8,0.05,0.7,0.2,0.7,114490.68359375,0.8168509275565491
starling,0.01,0.8,0.05,0.7,0.2,0.8,114846.28515625,0.813900991761628
starling,0.01,0.8,0.05,0.7,0.2,0.9,115452.720703125,0.8112784881489348
starling,0.01,0.8,0.05,0.8,0.1,0.7,95601.0390625,0.8051607151011677
starling,0.01,0.8,0.05,0.8,0.1,0.8,95830.361328125,0.8089872748710034
starling,0.01,0.8,0.05,0.8,0.1,0.9,96055.609375,0.8117122022758743
starling,0.01,0.8,0.05,0.8,0.14,0.7,101911.31640625,0.8177783315831799
starling,0.01,0.8,0.05,0.8,0.14,0.8,101872.2890625,0.821219299923683
starling,0.01,0.8,0.05,0.8,0.14,0.9,102436.517578125,0.8254080059662303
starling,0.01,0.8,0.05,0.8,0.2,0.7,114471.177734375,0.8174469632614101
starling,0.01,0.8,0.05,0.8,0.2,0.8,114780.52734375,0.8133847968803967
starling,0.01,0.8,0.05,0.8,0.2,0.9,114913.212890625,0.8151639820478498
starling,0.01,0.8,0.05,0.9,0.1,0.7,95344.728515625,0.8058830004875429
starling,0.01,0.8,0.05,0.9,0.1,0.8,95525.265625,0.8089320378141855
starling,0.01,0.8,0.05,0.9,0.1,0.9,95798.3203125,0.8122813435435083
starling,0.01,0.8,0.05,0.9,0.14,0.7,102180.583984375,0.8185978465402821
starling,0.01,0.8,0.05,0.9,0.14,0.8,102834.716796875,0.8202651662026545
starling,0.01,0.8,0.05,0.9,0.14,0.9,102477.72265625,0.8265783401581113
starling,0.01,0.8,0.05,0.9,0.2,0.7,114340.9296875,0.8172735184314858
